COD;TIPO;DESDE;PRECIO
2190;A;21/05/2008;56.5
2190;A;27/10/2008;57
2190;A;12/10/2009;60
2190;A;20/05/2010;61
2190;A;11/05/2011;60
2191;A;10/05/2005;35
2191;A;18/10/2006;35
2191;A;16/05/2007;40
2191;A;21/02/2008;46.5
2191;A;21/05/2008;46.5
2191;A;27/10/2008;50
2191;A;12/10/2009;55
2191;A;20/05/2010;51
2191;A;11/05/2011;51
2191;A;19/05/2012;54
2192;A;19/12/2009;50
2193;A;16/03/2011;45
2194;A;16/03/2011;45
2195;A;16/03/2011;45
2195;A;01/03/2012;55
2195;A;19/05/2012;55
2196;A;16/03/2011;45
2196;A;01/03/2012;53
2197;A;21/12/2010;40
2197;A;11/05/2011;41
2198;A;27/10/2008;40
2198;A;17/12/2010;40
2198;A;19/12/2011;50
2199;A;21/05/2008;50
2199;A;20/05/2009;50
2199;A;12/10/2009;55
2199;A;20/05/2010;51
2199;A;19/05/2012;54
2200;A;27/09/2002;26
2200;A;01/08/2003;26
2200;A;18/10/2006;26
2200;A;16/05/2007;35
2200;A;21/02/2008;36.5
2200;A;21/05/2008;36.5
2200;A;27/10/2008;40
2200;A;12/10/2009;43
2200;A;17/01/2011;40
2200;A;11/05/2011;43
2201;A;01/04/2003;16
2201;A;02/04/2003;16
2201;A;01/08/2003;16
2201;A;01/03/2012;50
2202;A;16/05/2007;43
2202;A;21/08/2007;44
2202;A;21/02/2008;56.5
2202;A;21/05/2008;56.5
2202;A;27/10/2008;50
2202;A;12/10/2009;55
2202;A;20/05/2010;51
2202;A;11/05/2011;51
2202;A;19/05/2012;54
2203;A;16/05/2007;43
2203;A;21/08/2007;44
2203;A;21/02/2008;56.5
2203;A;21/05/2008;56.5
2203;A;27/10/2008;50
2203;A;12/10/2009;55
2203;A;20/05/2010;51
2203;A;11/05/2011;51
2203;A;19/05/2012;54
2204;A;16/12/2010;40
2204;A;17/12/2010;40
2205;A;17/12/2010;40
2205;A;19/12/2011;50
2206;A;27/10/2008;20
2206;A;17/12/2010;40
2207;A;22/10/2010;30
2208;A;21/05/2008;56.5
2209;A;19/05/2010;41
2210;A;19/05/2010;4.5
2211;A;20/05/2010;26
2211;A;16/01/2011;35
2212;A;20/05/2010;15
2213;A;20/05/2010;15
2214;A;21/07/2010;15
2215;A;12/05/2011;35
2216;A;19/10/2011;40
2217;A;19/10/2011;40
2217;A;26/10/2012;43.68
2218;A;19/10/2011;40
2218;A;26/10/2012;43.68
2219;A;17/12/2011;42
2220;A;12/09/2002;12
2220;A;01/08/2003;12
2221;A;24/07/2006;3
2221;A;08/01/2007;3.5
2221;A;23/04/2007;3.6
2221;A;23/07/2007;3.6
2221;A;27/11/2007;3.7
2221;A;18/03/2008;5
2221;A;10/09/2008;4.5
2221;A;11/12/2008;4
2221;A;12/10/2009;4.1
2221;A;13/10/2009;3.9
2221;A;20/02/2011;4.4
2222;A;12/09/2002;12
2222;A;01/08/2003;12
2222;A;16/11/2006;4
2222;A;23/04/2007;4.2
2222;A;23/07/2007;4.5
2222;A;27/11/2007;4.5
2222;A;18/03/2008;5.4
2222;A;10/09/2008;5
2222;A;09/11/2009;4.5
2222;A;21/02/2011;5.5
2223;A;12/09/2002;12
2223;A;01/08/2003;12
2223;A;17/03/2009;5.2
2223;A;12/10/2009;6
2223;A;13/10/2009;5.5
2224;A;12/09/2002;12
2224;A;01/08/2003;12
2224;A;01/04/2006;5
2224;A;14/07/2006;4
2224;A;08/01/2007;4.5
2224;A;23/07/2007;5.5
2224;A;27/11/2007;5.5
2224;A;18/03/2008;6.5
2224;A;17/03/2009;5.2
2224;A;12/10/2009;6
2224;A;13/10/2009;5.5
2225;A;01/03/2006;3.2
2225;A;29/03/2006;2.9
2225;A;16/10/2006;2.9
2225;A;08/01/2007;3.1
2225;A;06/02/2007;2.9
2225;A;11/02/2007;3.1
2225;A;23/04/2007;3.3
2225;A;23/07/2007;3.4
2225;A;13/08/2007;3.5
2225;A;27/11/2007;3.6
2225;A;18/03/2008;4.3
2225;A;10/09/2008;4
2225;A;12/10/2009;3.8
2225;A;13/10/2009;4
2225;A;21/02/2011;4
2225;A;10/06/2011;4.3
2226;A;24/07/2006;3
2226;A;08/01/2007;3.5
2226;A;23/04/2007;3.6
2226;A;23/07/2007;3.6
2226;A;27/11/2007;3.7
2226;A;18/03/2008;5
2226;A;10/09/2008;4.5
2226;A;03/12/2008;4
2226;A;12/10/2009;4.2
2226;A;13/10/2009;3.9
2226;A;01/01/2012;4.4
2227;A;01/06/2006;1.6
2227;A;08/01/2007;1.8
2227;A;23/04/2007;2
2227;A;23/07/2007;2
2227;A;27/11/2007;2.1
2227;A;18/03/2008;2.4
2227;A;10/09/2008;2
2227;A;07/11/2008;1.667
2227;A;12/10/2009;1.8
2227;A;14/05/2010;1.55
2227;A;21/02/2011;1.8
2228;A;01/06/2006;1.6
2228;A;08/01/2007;1.8
